Latitude,Longitude
438019.59,4470325.54
438199.59,4470380.54
435995.59,4468484.55
435992.59,4468459.55
435987.59,4468411.55
436666.59,4469165.55
437550.58,4469559.54
437953.58,4469702.54
437595.59,4469817.54
437575.59,4469996.54
437838.59,4469959.54
437841.59,4469965.54
437729.58,4469834.54
437970.59,4470314.54
438007.59,4470424.54
438029.59,4470353.54
438031.59,4470357.54
438037.59,4470369.54
438095.59,4470297.54
438102.59,4470297.54
438129.59,4470516.54
438069.59,4470521.54
438064.59,4470511.54
438065.59,4470487.54
438168.59,4470445.54
438111.59,4470415.54
438085.59,4470422.54
438310.59,4470423.54
438189.59,4470408.54
438323.59,4470461.54
438435.59,4470573.54
438324.59,4470583.54
438291.59,4470582.54
438300.59,4470582.54
438203.59,4470582.54
438325.59,4470628.54
438278.59,4470800.54
438185.59,4470742.54
438286.59,4470600.54
438330.59,4470810.54
438339.59,4470720.54
438726.59,4470606.53
438726.59,4470606.53
438601.59,4470586.53
438590.59,4470600.53
436515.60,4470051.55
436449.60,4470048.55
436548.60,4470131.55
438419.59,4471581.54
438405.59,4471571.54
438252.60,4471372.54
438892.59,4471462.53
439064.59,4472065.53
438444.60,4471742.54
437807.60,4471493.54
437386.60,4471430.54
436894.60,4470736.55
436512.60,4470741.55
437086.60,4470529.55
436913.60,4470608.55
437407.60,4471169.54
437451.60,4471142.54
437755.60,4471039.54
438190.59,4470689.54
438147.59,4470666.54
438159.59,4470680.54
438146.59,4470599.54
438242.59,4470719.54
438298.59,4470736.54
437854.59,4470381.54
436658.59,4469908.55
436016.59,4468735.55
436026.59,4468617.55
436769.58,4469006.55
436746.58,4468997.55
436799.58,4469105.55
436631.58,4468990.55
436600.58,4468979.55
436704.58,4468936.55
436682.58,4468896.55
436609.58,4468598.55
436571.58,4468904.55
436649.59,4469151.55
436649.59,4469151.55
436560.59,4469049.55
436634.59,4469089.55
436535.58,4468577.55
436018.59,4468779.55
435896.60,4469352.55
435879.60,4469670.56
438974.59,4470805.53
439264.59,4472008.53
439011.59,4470939.53
439527.59,4471887.53
437373.60,4470982.54
438211.59,4470840.54
438884.59,4470881.53
436818.60,4471126.55
439018.59,4471862.53
437740.60,4472316.54
436325.60,4469849.55
439009.59,4470879.53
437901.59,4470808.54
435327.60,4468776.56
436972.60,4470943.55
437189.60,4471561.55
439085.59,4471921.53
435652.60,4469416.56
437812.60,4470951.54
437036.60,4470548.55
437039.60,4470550.55
437352.60,4471377.54
439011.59,4470784.53
436740.60,4470614.55
436740.60,4470614.55
439630.59,4471420.53
439622.59,4471438.53
437760.60,4471761.54
437346.60,4471034.54
437880.58,4469642.54
437824.58,4469582.54
437824.58,4469582.54
438069.60,4471389.54
436449.60,4470185.55
436443.60,4470167.55
438179.58,4469453.54
438190.58,4469454.54
438190.58,4469454.54
438211.58,4469458.54
436824.59,4469927.55
438621.59,4471333.54
436878.59,4469490.55
439002.59,4472258.54
437129.60,4471019.55
435959.59,4468439.55
437360.60,4471357.54
438866.59,4471609.53
438001.59,4470853.54
439000.59,4470882.53
437834.59,4470736.54
435513.59,4468624.56
438002.60,4471303.54
435507.59,4468241.56
437809.60,4470966.54
438177.59,4471241.54
438464.59,4471414.54
436892.60,4471169.55
436739.60,4471012.55
439137.59,4471774.53
436557.59,4469309.55
435856.59,4468759.55
437116.58,4468591.54
439135.59,4471447.53
435218.59,4468178.56
435186.59,4468207.56
436417.58,4468546.55
437547.58,4469581.54
438154.21,4471176.05
437161.59,4469804.54
436021.59,4468559.55
436019.59,4468537.55
436899.58,4468314.54
436899.58,4468314.54
435618.60,4469503.56
435649.59,4468871.56
435639.59,4468869.56
437005.58,4469298.54
437125.58,4469378.54
437125.58,4469386.54
438080.60,4471405.54
435195.59,4468485.56
435193.59,4468433.56
435168.59,4468423.56
435168.59,4468423.56
435686.59,4468226.55
435746.59,4468222.55
435736.59,4468222.55
437156.58,4469344.54
435362.59,4468145.56
438662.57,4468844.53
437244.58,4469159.54
435754.61,4470449.56
437080.59,4470205.54
438688.60,4472232.54
438722.60,4472214.54
436090.58,4468196.55
435778.58,4468139.55
435778.58,4468139.55
435781.58,4468163.55
435782.58,4468179.55
436367.58,4468226.55
437073.59,4470246.54
443192.55,4469964.49
443117.57,4470951.49
443497.57,4471964.49
443497.57,4471964.49
444031.54,4469206.48
443279.55,4469873.49
443279.55,4469873.49
443279.55,4469873.49
443279.55,4469873.49
443279.55,4469873.49
443279.55,4469873.49
443327.57,4471838.49
443327.57,4471838.49
443327.57,4471838.49
443352.56,4470724.49
443352.56,4470724.49
443352.56,4470724.49
443428.56,4470678.49
443428.56,4470678.49
443428.56,4470678.49
443428.56,4470678.49
444551.55,4470968.47
444551.55,4470968.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
444752.55,4470246.47
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445564.54,4470571.46
445699.55,4471100.46
445699.55,4471100.46
445699.55,4471100.46
444551.55,4470968.47
444551.55,4470968.47
444551.55,4470968.47
444551.55,4470968.47
444551.55,4470968.47
445699.55,4471100.46
445699.55,4471100.46
445699.55,4471100.46
445044.55,4471153.47
445062.55,4471180.47
445062.55,4471180.47
445062.55,4471180.47
444161.56,4471628.48
444161.56,4471628.48
444161.56,4471628.48
444161.56,4471628.48
443873.56,4472096.49
443873.56,4472096.49
443873.56,4472096.49
0.00,0.00
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
444161.56,4471628.48
444161.56,4471628.48
444161.56,4471628.48
444161.56,4471628.48
446834.54,4470791.44
446834.54,4470791.44
443798.55,4470278.48
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443568.56,4471175.49
443568.56,4471175.49
445595.55,4470918.46
445595.55,4470918.46
445595.55,4470918.46
445595.55,4470918.46
445595.55,4470918.46
445595.55,4470918.46
445595.55,4470918.46
445500.55,4470776.46
445500.55,4470776.46
445500.55,4470776.46
445500.55,4470776.46
445497.55,4470753.46
445497.55,4470753.46
445497.55,4470753.46
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
443862.57,4472695.49
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
446834.54,4470791.44
444407.56,4471544.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443798.55,4470278.48
443367.56,4470537.49
443367.56,4470537.49
443367.56,4470537.49
444407.56,4471544.48
444407.56,4471544.48
444407.56,4471544.48
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
446846.54,4470782.44
443095.56,4470041.49
443169.56,4470133.49
443306.56,4470171.49
